SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
TO,OLIVEIRA DE FÁTIMA,2436.0,51.11,4.52,16.01,10.26
PB,DIAMANTE,8392.0,76.53,7.65,12.85,10.25
TO,CAMPOS LINDOS,10192.0,60.16,11.97,8.54,10.25
BA,ANAGÉ,29758.0,74.9,6.88,13.6,10.24
MG,FRANCISCO SÁ,28768.0,68.56,2.59,17.87,10.23
PB,CABACEIRAS,8342.0,68.32,14.65,5.8,10.23
RN,SÃO PEDRO,10132.0,67.92,11.78,8.63,10.21
MA,SÃO LUÍS GONZAGA DO MARANHÃO,25664.0,83.32,10.05,10.37,10.21
MA,MILAGRES DO MARANHÃO,9262.0,80.6,14.49,5.94,10.21
PR,ITAPERUÇU,34636.0,57.97,7.83,12.59,10.21
CE,REDENÇÃO,38608.0,65.84,9.55,10.86,10.21
MA,SANTA QUITÉRIA DO MARANHÃO,31650.0,81.04,11.44,8.96,10.2
MT,BARÃO DE MELGAÇO,9990.0,57.15,17.58,2.82,10.2
GO,CAMPOS VERDES,6228.0,57.21,16.06,4.34,10.2
PB,FAGUNDES,15896.0,78.55,3.65,16.76,10.2
CE,MORADA NOVA,91150.0,70.11,10.93,9.45,10.19
CE,JAGUARIBARA,14034.0,79.18,8.19,12.16,10.18
BA,AIQUARA,6252.0,67.64,19.07,1.28,10.17
BA,SEABRA,55982.0,82.5,15.59,4.72,10.16
MA,SÃO JOÃO BATISTA,29400.0,86.2,10.57,9.76,10.16
PE,ESCADA,78600.0,65.91,12.2,8.06,10.13
MS,PARANHOS,12636.0,57.98,15.04,5.19,10.11
RN,SERRA NEGRA DO NORTE,10248.0,57.6,15.4,4.8,10.1
BA,POTIRAGUÁ,12094.0,55.43,6.85,13.33,10.09
PR,RONCADOR,13990.0,51.03,15.75,4.42,10.09
AM,TABATINGA,54824.0,64.56,4.76,15.42,10.09
RN,CAIÇARA DO RIO DO VENTO,6282.0,69.0,15.82,4.36,10.09
BA,JANDAÍRA,13004.0,79.59,4.41,15.76,10.09
MS,JAPORÃ,9118.0,57.81,3.9,16.25,10.08
MA,CIDELÂNDIA,17030.0,62.85,14.02,6.1,10.06
SE,BREJO GRANDE,11380.0,79.21,15.13,4.99,10.06
BA,CASTRO ALVES,36062.0,79.38,7.82,12.28,10.05
PI,LUIS CORREIA,41668.0,74.58,9.04,11.04,10.04
BA,SERRA DO RAMALHO,39104.0,73.24,8.51,11.55,10.03
PR,VENTANIA,12268.0,50.98,12.98,7.06,10.02
RN,LAGOA DE VELHOS,5198.0,76.25,14.85,5.19,10.02
PB,ESPERANÇA,40646.0,64.15,10.39,9.64,10.01
PI,PAQUETÁ,6820.0,79.28,18.27,1.76,10.01
PI,CRISTINO CASTRO,12442.0,73.04,16.56,3.46,10.01
AM,URUCARÁ,17974.0,70.66,4.22,15.79,10.0
PR,SALTO DO LONTRA,18334.0,56.21,10.01,9.96,9.99
PI,SÃO JULIÃO,8742.0,69.98,18.46,1.51,9.99
TO,ITACAJÁ,8782.0,61.09,10.79,9.18,9.99
BA,XIQUE-XIQUE,53946.0,72.4,15.08,4.88,9.98
RN,GUAMARÉ,24268.0,64.81,14.1,5.81,9.96
RJ,RIO DAS FLORES,13238.0,58.77,10.7,9.23,9.96
PB,BOQUEIRÃO,24740.0,65.0,17.3,2.59,9.95
PR,SANTA MARIA DO OESTE,12968.0,53.36,13.85,6.01,9.93
RN,BARAÚNA,33732.0,61.94,15.32,4.55,9.93
MG,ITACARAMBI,18736.0,60.71,8.38,11.45,9.92
MA,SÃO BENTO,41736.0,77.57,9.58,10.26,9.92
MA,SÃO VICENTE FERRER,23456.0,82.83,11.02,8.8,9.91
PE,BARREIROS,46988.0,59.89,14.58,5.22,9.9
SP,FERRAZ DE VASCONCELOS,190233.0,50.46,11.48,8.28,9.9
MG,SANTA BÁRBARA DO MONTE VERDE,5224.0,51.54,10.8,9.0,9.9
BA,GENTIO DO OURO,15610.0,84.51,3.84,15.89,9.87
PE,PRIMAVERA,17478.0,65.32,17.15,2.59,9.87
AL,DELMIRO GOUVEIA,59072.0,78.61,3.23,16.49,9.86
AL,MAJOR ISIDORO,22718.0,65.55,1.5,18.22,9.86
MG,SÃO JOÃO DO ORIENTE,10640.0,50.9,9.98,9.74,9.86
SP,AREIAS,4667.0,51.18,8.44,11.31,9.86
AL,MURICI,30406.0,58.16,4.3,15.42,9.86
BA,ARAÇÁS,16092.0,74.71,5.88,13.85,9.86
CE,SANTANA DO CARIRI,21708.0,87.84,13.83,5.88,9.85
GO,BALIZA,4336.0,51.32,16.28,3.41,9.85
RN,ITAÚ,8120.0,64.89,6.6,13.1,9.85
BA,SANTO ANTÔNIO DE JESUS,122344.0,63.57,15.32,4.36,9.84
CE,OCARA,39990.0,68.39,8.57,11.12,9.84
PI,SÃO JOSÉ DO PIAUÍ,9490.0,83.83,16.9,2.78,9.84
PE,CARUARU,411238.0,52.73,9.99,9.66,9.83
PB,ALGODÃO DE JANDAÍRA,4832.0,84.06,16.64,3.02,9.83
PE,LIMOEIRO,74418.0,69.93,11.39,8.22,9.81
PB,SOLÂNEA,33784.0,68.72,12.81,6.77,9.79
TO,CARMOLÂNDIA,3822.0,53.09,17.32,2.25,9.79
MG,IJACI,9040.0,55.74,11.5,8.08,9.79
SE,NEÓPOLIS,21544.0,68.84,8.21,11.37,9.79
MG,BRAÚNAS,6146.0,58.0,14.03,5.53,9.78
PE,CACHOEIRINHA,25776.0,71.94,4.05,15.51,9.78
CE,CARIDADE,28080.0,78.3,15.05,4.49,9.77
PB,VIEIRÓPOLIS,8084.0,83.99,9.9,9.62,9.76
MA,MIRADOR,24604.0,77.77,1.85,17.67,9.76
SE,INDIAROBA,20024.0,78.08,9.31,10.19,9.75
AM,ITAPIRANGA,12906.0,50.2,4.59,14.91,9.75
MG,CRISÓLITA,6760.0,74.67,2.93,16.57,9.75
RS,SÃO VALÉRIO DO SUL,3554.0,56.1,1.13,18.35,9.74
PI,AVELINO LOPES,14578.0,73.38,9.73,9.74,9.73
PB,CALDAS BRANDÃO,8816.0,70.87,14.07,5.38,9.72
PI,PALMEIRAIS,20198.0,84.01,7.63,11.8,9.72
PB,ARARUNA,20716.0,70.67,2.54,16.9,9.72
BA,UBAITABA,21298.0,59.24,10.79,8.61,9.7
BA,IRARÁ,39012.0,76.32,8.2,11.18,9.69
SP,TAIAÇU,6275.0,50.52,7.65,11.82,9.69
GO,SANTA FÉ DE GOIÁS,6118.0,50.46,14.22,5.17,9.69
BA,LIVRAMENTO DE NOSSA SENHORA,56304.0,74.31,15.74,3.64,9.69
BA,AURELINO LEAL,14622.0,72.74,6.91,12.45,9.68
RN,JUNDIÁ,6942.0,64.74,10.11,9.25,9.68
PE,SALOÁ,18658.0,84.77,17.87,1.48,9.67
SP,TEJUPÁ,5103.0,50.83,12.18,7.09,9.66
MS,VICENTINA,9368.0,54.95,7.3,12.02,9.66
PE,SURUBIM,76372.0,64.71,15.35,3.98,9.66
PB,BANANEIRAS,28674.0,76.92,5.22,14.1,9.66
MG,CONSELHEIRO LAFAIETE,162234.0,52.06,5.75,13.55,9.65
PI,VERA MENDES,5520.0,85.43,17.86,1.41,9.64
CE,ITAPIPOCA,159596.0,73.73,9.9,9.38,9.64
CE,PALHANO,15144.0,61.75,7.08,12.19,9.63
RS,ENGENHO VELHO,1976.0,56.03,8.1,11.13,9.62
GO,GUARAÍTA,4376.0,52.98,12.61,6.63,9.62
BA,JACARACI,17652.0,74.23,8.81,10.4,9.61
SE,SANTA ROSA DE LIMA,6918.0,67.35,4.13,15.06,9.6
GO,URUTAÍ,5424.0,51.09,16.33,2.84,9.59
BA,CORAÇÃO DE MARIA,35350.0,79.69,8.23,10.95,9.59
BA,PRESIDENTE TANCREDO NEVES,34042.0,68.82,15.31,3.87,9.59
RN,CORONEL EZEQUIEL,7348.0,78.25,13.36,5.82,9.59
MG,PRADOS,12350.0,57.17,5.72,13.44,9.58
PI,GUARIBAS,6532.0,93.04,16.81,2.33,9.57
SE,MALHADOR,16584.0,70.05,7.07,12.07,9.57
